key, propensity, propensity^2, count, pos, neg
ALA, 0.04907, 0.00241,    13064,      641,    12423
CYS, 0.07112, 0.00506,     3248,      231,     3017
ASP, 0.05914, 0.0035 ,    14254,      843,    13411
GLU, 0.04988, 0.00249,    16839,      840,    15999
PHE, 0.10714, 0.01148,     8195,      878,     7317
GLY, 0.05111, 0.00261,    13813,      706,    13107
HIS, 0.0888 , 0.00789,     5439,      483,     4956
ILE, 0.07408, 0.00549,    10407,      771,     9636
LYS, 0.05262, 0.00277,    15221,      801,    14420
LEU, 0.06806, 0.00463,    17763,     1209,    16554
MET, 0.09044, 0.00818,     4456,      403,     4053
ASN, 0.06133, 0.00376,    10876,      667,    10209
PRO, 0.04338, 0.00188,    10973,      476,    10497
GLN, 0.06032, 0.00364,    10245,      618,     9627
ARG, 0.07984, 0.00637,    12676,     1012,    11664
SER, 0.05394, 0.00291,    14405,      777,    13628
THR, 0.05179, 0.00268,    12280,      636,    11644
VAL, 0.06567, 0.00431,    12563,      825,    11738
TRP, 0.14068, 0.01979,     2957,      416,     2541
TYR, 0.12003, 0.01441,     8398,     1008,     7390
